time,latitude,longitude,depth,magnitude,place
1703956583833,-2.9934,139.372,33.0,6.3,"146 km WSW of Abepura, Indonesia"
1703952345628,-14.753,-173.9714,10.0,5.2,"134 km N of Hihifo, Tonga"
1703948581478,-6.4131,154.9575,73.469,5.3,"59 km W of Panguna, Papua New Guinea"
1703948411442,-11.5203,166.415,155.602,5.0,"110 km SE of Lata, Solomon Islands"
1703916997350,-54.5762,-23.2713,10.0,5.3,South Sandwich Islands region
1703913568158,2.4949,92.9942,19.0,5.7,off the west coast of northern Sumatra
1703904145497,-49.3266,-116.1747,10.0,5.8,southern East Pacific Rise
1703876634159,-18.0123,173.021,20.3,5.1,Fiji region
1703867476478,25.0911,96.5235,10.0,5.0,"93 km WSW of Myitkyina, Myanmar"
1703839325822,-7.2313,68.0639,10.0,5.0,Chagos Archipelago region
1703821039230,-7.0109,155.0124,10.0,5.2,"92 km SW of Panguna, Papua New Guinea"
1703817490299,-7.101,67.9432,10.0,5.2,Mid-Indian Ridge
1703812730036,-7.1134,67.98,9.929,5.7,Mid-Indian Ridge
1703810284868,-7.1878,68.0211,10.0,5.1,Chagos Archipelago region
1703803057025,-12.9186,66.4515,10.0,5.3,Mid-Indian Ridge
1703778513019,8.5588,126.4999,51.88,5.0,"27 km NE of Hinatuan, Philippines"
1703758115997,-61.0903,-53.9128,10.0,5.2,South Shetland Islands
1703756246968,44.4629,149.0713,42.223,5.0,"126 km SE of Kuril’sk, Russia"
1703754916131,44.596,149.0388,31.0,6.5,"115 km SE of Kuril’sk, Russia"
1703754779697,-65.4365,-179.6885,10.0,5.8,Pacific-Antarctic Ridge
1703727311401,6.121,125.4786,35.0,5.2,"12 km ENE of Suyan, Philippines"
1703720018029,56.3932,-34.1628,10.0,5.1,Reykjanes Ridge
1703717036800,-7.7769,107.9533,72.197,5.1,"50 km SSW of Singaparna, Indonesia"
1703712798754,-53.0898,-118.1134,10.0,5.8,southern East Pacific Rise
1703703164282,-9.9486,123.7035,39.974,5.0,"26 km NNE of Kupang, Indonesia"
1703691637483,56.4341,-34.0131,10.0,5.0,Reykjanes Ridge
1703691367393,-53.1275,-117.7908,10.0,5.4,southern East Pacific Rise
1703653759806,57.0045,108.7206,10.0,5.3,"94 km SSE of Kirensk, Russia"
1703599975231,-56.3856,-27.2106,125.59,5.0,South Sandwich Islands region
1703596303180,-5.2714,145.3057,87.171,5.1,"53 km W of Madang, Papua New Guinea"
1703575465190,19.6258,-68.8005,9.0,5.3,"72 km NE of Samaná, Dominican Republic"
1703479741655,33.149,137.7852,336.23,5.0,"158 km SSE of Shima, Japan"
1703457240775,-55.8178,-25.267,10.0,5.0,South Sandwich Islands region
1703443363920,52.85,160.8894,25.692,5.0,"153 km E of Petropavlovsk-Kamchatsky, Russia"
1703439167475,-20.4247,168.757,10.0,5.0,"112 km SSW of Isangel, Vanuatu"
1703429576063,-20.8222,-173.815,10.0,5.4,"124 km SSE of Pangai, Tonga"
1703388768403,-38.1075,-73.9764,10.0,5.1,"61 km WSW of Cañete, Chile"
1703388223259,-38.0746,-73.8923,16.0,5.8,"53 km SW of Cañete, Chile"
1703386926352,8.5352,126.5233,51.097,5.1,"27 km NE of Hinatuan, Philippines"
1703384537209,-22.7019,-175.7829,46.342,5.5,"173 km SSW of ‘Ohonua, Tonga"
1703384444377,8.2927,127.0403,57.029,5.3,"68 km ENE of Barcelona, Philippines"
1703383232128,-20.4518,169.06,10.0,5.8,"103 km SSW of Isangel, Vanuatu"
1703383179371,-20.5072,168.9641,10.0,5.9,"111 km SSW of Isangel, Vanuatu"
1703375089539,-20.4101,-173.8524,10.0,5.6,"84 km SE of Pangai, Tonga"
1703364225970,-20.3914,168.9535,10.0,5.2,"100 km SSW of Isangel, Vanuatu"
1703353685248,51.9532,158.955,41.862,5.8,"115 km SSE of Vilyuchinsk, Russia"
